,url_length,n_result,slash_count,dot_count,.edu,.com,.gov,.net,.org,.other,alexa_rank,keyword_in_netloc,keyword_in_path,keyword_in_title,keyword_in_description,labels,urls,titles,descriptions
10,47.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,1.0,1,https://en.wikipedia.org/wiki/Avengers:_Endgame,avengers endgame  wikipedia  enwikipediaorg  wiki  avengersendgame,avengers endgame is a 2019 american superhero film based on the marvel comics superhero team the avengers produced by marvel studios and distributed by  list of box office records set    endgame soundtrack    christopher markus
11,37.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,1.0,0.0,1,https://www.imdb.com/title/tt4154796/,avengers endgame 2019  imdb  wwwimdbcom  title,rating   8410  958826
12,43.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,https://www.youtube.com/watch?v=TcMBFSGVi1c,marvel studios avengers endgame  official trailer  youtube  wwwyoutubecom  watch,duration   227  posted   mar 14 2019
13,43.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,https://www.youtube.com/watch?v=hA6hldpSTF8,marvel studios avengers  official trailer  youtube  wwwyoutubecom  watch,duration   226  posted   dec 7 2018
14,49.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,1,https://www.rottentomatoes.com/m/avengers_endgame,avengers endgame  rotten tomatoes  wwwrottentomatoescom  avengersendgame,rating   94  547
15,70.0,5.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,102.0,0.0,1.0,1.0,1.0,0,https://www.nytimes.com/2019/04/23/movies/avengers-endgame-review.html,avengers endgame review the real heroes were the friends  wwwnytimescom  20190423  movies  avengersendgamereview,duration   424  posted   apr 23 2019
16,85.0,6.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,102.0,0.0,1.0,1.0,2.0,0,https://www.nytimes.com/2019/04/29/movies/avengers-endgame-questions-and-answers.html,avengers endgame the screenwriters answer every question   wwwnytimescom  20190429  movies  avengersendgamequestions,apr 29 2019    april 29 2019 leer en espaol this article contains spoilers for avengers endgame its over with avengers endgame the twomovie
17,46.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9576.0,0.0,0.0,1.0,1.0,1,https://www.marvel.com/movies/avengers-endgame,avengers endgame movie 2019  release date tickets trailers  wwwmarvelcom  movies  avengersendgame,duration   227  posted   mar 14 2019
18,57.0,8.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0,https://www.amazon.com/Avengers-Endgame-DVD/dp/B07PXT42PJ,avengers endgame dvd 2019  movies  tv  amazoncom  wwwamazoncom  avengersendgamedvd,rating   46  11107
19,61.0,9.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0,https://www.hotstar.com/in/movies/avengers-endgame/1260013556,avengers endgame  disney hotstar vip  wwwhotstarcom  movies  avengersendgame,after the devastating events of the infinity war the avengers assemble once more to reverse thanos actions and restore balance to the universe
20,49.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,1.0,2.0,1.0,1,https://en.wikipedia.org/wiki/Titanic_(1997_film),titanic 1997 film  wikipedia  enwikipediaorg  wiki  titanic1997film,titanic is a 1997 american epic romance and disaster film directed written produced and coedited by james cameron incorporating both historical and  grand staircase of the titanic    titanic music from the motion    billy zane
21,37.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,1.0,0.0,1,https://www.imdb.com/title/tt0120338/,titanic 1997  imdb  wwwimdbcom  title,rating   7810  1102583
22,51.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,91.0,0.0,1.0,2.0,1.0,1,https://titanic.fandom.com/wiki/Titanic_(1997_film),titanic 1997 film  titanic wiki  titanicfandomcom  wiki  titanic1997film,titanic is a 1997 romancedisaster film directed written coproduced and coedited by james cameron starring leonardo dicaprio and kate winslet
23,40.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,1,https://www.rottentomatoes.com/m/titanic,titanic  rotten tomatoes  wwwrottentomatoescom  titanic,rating   89  193
24,37.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,0,https://www.netflix.com/title/1181461,watch titanic  netflix  wwwnetflixcom  title,titanic 1997  pg13  3h 14m  romantic movies distraught over her engagement to a cruel millionaire young rose finds a new lease on life when she falls
25,43.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0,https://www.youtube.com/watch?v=SJp8Csbm5AY,titanic 1997  behind the scenes of leonardo dicaprio cult movie  wwwyoutubecom  watch,duration   1237  posted   jul 14 2021
26,58.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4154.0,0.0,0.0,1.0,0.0,1,http://www.themoviedb.org/movie/597-titanic?language=en-US,titanic 1997  the movie database tmdb  wwwthemoviedborg  movie  597titanic,101yearold rose dewitt bukater tells the story of her life aboard the titanic 84 years later a young rose boards the ship with her mother and fianc
27,58.0,7.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1474028.0,0.0,1.0,2.0,1.0,0,https://www.santarosacinemas.com/movie/8672/titanic-(1997),titanic 1997  santa rosa cinemas  wwwsantarosacinemascom  movie  titanic1997,titanic 1997 rated pg13 drama 3h 30m story cast  crew a fictional romantic tale of a rich girl and poor boy who meet on the illfated voyage of the
28,47.0,8.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9615.0,0.0,1.0,2.0,1.0,0,https://www.rogerebert.com/reviews/titanic-1997,titanic movie review  film summary 1997  roger ebert  wwwrogerebertcom  reviews  titanic1997,dec 19 1997    titanic  like a great iron sphinx on the ocean floor the titanic faces still toward the west interrupted forever on its only voyage
29,35.0,9.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1090.0,0.0,0.0,1.0,1.0,0,https://screenrant.com/tag/titanic/,titanic 1997  screenrant  screenrantcom  tag  titanic,while titanics main characters were fictional the 1997 film included the roles of 30 reallife passengers and crew members who traveled on the ship madeline
30,58.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,1.0,1,https://en.wikipedia.org/wiki/Star_Wars:_The_Force_Awakens,star wars the force awakens  wikipedia  enwikipediaorg  wiki  starwarstheforceawakens,star wars the force awakens also known as star wars episode vii  the force awakens is a 2015 american epic space opera film produced cowritten  list of box office records set by    soundtrack    novel    finn
31,37.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,1.0,0.0,1,https://www.imdb.com/title/tt2488496/,star wars episode vii  the force awakens 2015  imdb  wwwimdbcom  title,rating   7810  889559
32,43.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,https://www.youtube.com/watch?v=sGbxmsDFVnE,star wars the force awakens trailer official  youtube  wwwyoutubecom  watch,duration   236  posted   oct 19 2015
33,72.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,1,https://www.rottentomatoes.com/m/star_wars_episode_vii_the_force_awakens,star wars the force awakens  rotten tomatoes  wwwrottentomatoescom  starwarsepisodeviitheforceawakens,rating   93  445
34,73.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,1,https://starwars.fandom.com/wiki/Star_Wars:_Episode_VII_The_Force_Awakens,star wars episode vii the force awakens  wookieepedia  starwarsfandomcom  wiki  starwarsepisodeviitheforceawak,duration   230  posted   dec 13 2017
35,70.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,37259.0,0.0,0.0,0.0,0.0,1,https://www.starwars.com/films/star-wars-episode-vii-the-force-awakens,star wars episode vii the force awakens  wwwstarwarscom  films  starwarsepisodeviitheforceawakens,posted   aug 25 2016
36,81.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9615.0,0.0,1.0,1.0,1.0,0,https://www.rogerebert.com/reviews/star-wars-episode-vii---the-force-awakens-2015,star wars episode vii  the force awakens movie review 2015  wwwrogerebertcom  reviews  starwarsepisodeviitheforceawakens,dec 18 2015    decades after darth vader threw his master down an elevator shaft the galaxy is still wracked by war the republic is still the republic but
37,67.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4154.0,0.0,0.0,1.0,0.0,1,https://www.themoviedb.org/movie/140607-star-wars-the-force-awakens,star wars the force awakens 2015  the movie database tmdb  wwwthemoviedborg  movie  140607starwarstheforceawakens,jan 17 2016    thirty years after defeating the galactic empire han solo and his allies face a new threat from the evil kylo ren and his army of stormtroopers
38,64.0,8.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0,https://www.amazon.com/Star-Wars-Force-Awakens-DVD/dp/B019FF9WHW,star wars the force awakens dvd 2015  amazoncom  wwwamazoncom  starwarsforceawakensdvd,rating   46  27851
39,56.0,9.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3944.0,0.0,0.0,0.0,0.0,0,https://letterboxd.com/film/star-wars-the-force-awakens/,star wars the force awakens  letterboxd  letterboxdcom  film  starwarstheforceawakens,rating   35  545673
40,43.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,https://www.youtube.com/watch?v=6ZfuNTqbHE8,marvel studios avengers infinity war official trailer  youtube  wwwyoutubecom  watch,duration   225  posted   nov 29 2017
41,43.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,https://www.youtube.com/watch?v=QwievZ1Tx-8,marvel studios avengers infinity war  official trailer  youtube  wwwyoutubecom  watch,duration   219  posted   mar 16 2018
42,52.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,1.0,1,https://en.wikipedia.org/wiki/Avengers:_Infinity_War,avengers infinity war  wikipedia  enwikipediaorg  wiki  avengersinfinitywar,avengers infinity war is a 2018 american superhero film based on the marvel comics superhero team the avengers produced by marvel studios and distributed  soundtrack    infinity war disambiguation    infinity comic book    pager
43,37.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,1.0,0.0,1,https://www.imdb.com/title/tt4154756/,avengers infinity war 2018  imdb  wwwimdbcom  title,rating   8410  939112
44,54.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,1,https://www.rottentomatoes.com/m/avengers_infinity_war,avengers infinity war  rotten tomatoes  wwwrottentomatoescom  avengersinfinitywar,rating   85  485
45,51.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9576.0,0.0,0.0,1.0,0.0,1,https://www.marvel.com/movies/avengers-infinity-war,avengers infinity war movie 2018  cast  release date  marvel  wwwmarvelcom  movies  avengersinfinitywar,an unprecedented cinematic journey ten years in the making and spanning the entire marvel cinematic universe marvel studios avengers infinity war brings to
46,70.0,6.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,1.0,1,https://marvelcinematicuniverse.fandom.com/wiki/Avengers:_Infinity_War,avengers infinity war  marvel cinematic universe wiki  marvelcinematicuniversefandomcom  wiki  avengersinfinitywar,avengers infinity war is a 2018 superhero film based on the marvel comics superhero team of the same name the film is a sequel to the avengers avengers
47,61.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9615.0,0.0,1.0,2.0,1.0,0,https://www.rogerebert.com/reviews/avengers-infinity-war-2018,avengers infinity war movie review 2018  roger ebert  wwwrogerebertcom  reviews  avengersinfinitywar2018,apr 24 2018    avengers infinity war  for a 160minute epic that unifies a farflung superhero universe that took a decade to build packs 76 characters into
48,71.0,8.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0,https://www.amazon.com/AVENGERS-INFINITY-Robert-Downey-Jr/dp/B07BYWVLZR,avengers infinity war  amazon  wwwamazoncom  avengersinfinityrobertdowneyjr,rating   47  50463
49,73.0,9.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2287.0,0.0,1.0,1.0,0.0,0,https://www.fandango.com/avengers-infinity-war-2018-199925/movie-overview,avengers infinity war 2018  tickets  showtimes near you  wwwfandangocom  movieoverview,rating   91  60406
50,37.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,1.0,0.0,1,https://www.imdb.com/title/tt0369610/,jurassic world 2015  imdb  wwwimdbcom  title,rating   710  604786
51,44.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,1.0,1,https://en.wikipedia.org/wiki/Jurassic_World,jurassic world  wikipedia  enwikipediaorg  wiki  jurassicworld,jurassic world is a 2015 american science fiction action film it is the fourth installment of the jurassic park franchise and the first in the jurassic  fallen kingdom    jurassic world camp    jurassic world live    world evolution
52,43.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,https://www.youtube.com/watch?v=RFinNxS5KN4,jurassic world  official trailer hd  youtube  wwwyoutubecom  watch,duration   241  posted   nov 25 2014
53,43.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,https://www.youtube.com/watch?v=aJJrkyHas78,jurassic world  official global trailer hd  youtube  wwwyoutubecom  watch,duration   241  posted   apr 20 2015
54,68.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4154.0,0.0,0.0,1.0,1.0,1,http://www.themoviedb.org/movie/135397-jurassic-world?language=en-US,jurassic world 2015  the movie database tmdb  wwwthemoviedborg  movie  135397jurassicworld,nov 24 2015    twentytwo years after the events of jurassic park isla nublar now features a fully functioning dinosaur theme park jurassic world as
55,70.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,91.0,0.0,1.0,2.0,1.0,1,https://heroes-of-the-characters.fandom.com/wiki/Jurassic_World_(2015),jurassic world 2015  heroes of the characters wiki  heroesofthecharactersfandomcom  wiki  jurassicworld2015,jurassic world is a 2015 american sciencefiction adventure film and the fourth installment of the jurassic park series the film was directed and
56,63.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0,https://www.amazon.com/Jurassic-World-Chris-Pratt/dp/B00NYC5II0,jurassic world dvd  amazoncom  wwwamazoncom  jurassicworldchrispratt,amazoncom jurassic world  chris pratt bryce dallas howard judy greer jake johnson  october 20 2015  jurassic world 5movie collection dvd
57,47.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,1,https://www.rottentomatoes.com/m/jurassic_world,jurassic world  rotten tomatoes  wwwrottentomatoescom  jurassicworld,rating   71  355
58,54.0,8.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9615.0,0.0,1.0,2.0,1.0,0,https://www.rogerebert.com/reviews/jurassic-world-2015,jurassic world movie review  film summary 2015  roger ebert  wwwrogerebertcom  reviews  jurassicworld2015,jun 10 2015    every new development makes the sequence feel like a storywithinastory with the end goal of getting the hell away from dinosaurs the final
59,65.0,9.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2287.0,0.0,1.0,2.0,0.0,0,https://www.fandango.com/jurassic-world-2015-174160/cast-and-crew,jurassic world 2015 cast and crew  cast photos and info  wwwfandangocom  jurassicworld2015174160  castandcrew,steven spielberg returns to executive produce the longawaited next installment of his groundbreaking jurassic park series jurassic world
60,55.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,1.0,2.0,1.0,1,https://en.wikipedia.org/wiki/The_Lion_King_(2019_film),the lion king 2019 film  wikipedia  enwikipediaorg  wiki  thelionking2019film,the lion king is a 2019 american musical drama film directed and produced by jon favreau written by jeff nathanson and produced by walt disney pictures  jd mccrary    spirit beyonc song    mark livolsi
61,43.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,https://www.youtube.com/watch?v=7TavVZMewpY,the lion king official trailer  youtube  wwwyoutubecom  watch,duration   149  posted   apr 10 2019
62,43.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,https://www.youtube.com/watch?v=4CbLXeGSDxg,the lion king official teaser trailer  youtube  wwwyoutubecom  watch,duration   133  posted   nov 22 2018
63,37.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,1.0,0.0,1,https://www.imdb.com/title/tt6105098/,the lion king 2019  imdb  wwwimdbcom  title,rating   6810  228543
64,44.0,4.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,6897.0,0.0,1.0,2.0,1.0,1,https://movies.disney.com/the-lion-king-2019,the lion king 2019  disney movies  moviesdisneycom  thelionking2019,jul 19 2019    disneys film journeys to the african savanna where a future king is born simba idolizes his father king mufasa and takes to heart his
65,51.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,525.0,0.0,1.0,1.0,0.0,1,https://www.rottentomatoes.com/m/the_lion_king_2019,the lion king  rotten tomatoes  wwwrottentomatoescom  thelionking2019,rating   52  430
66,92.0,6.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2067.0,0.0,2.0,2.0,2.0,0,https://www.vox.com/2019/7/17/20694836/lion-king-2019-versus-1994-original-review-comparison,lion king 2019 whats better and worse about the disney remake  wwwvoxcom  lionking2019versus1994originalreviewcomparison,jul 17 2019    hands down the lion king remake is one of the most beautiful movies to come out in 2019 thus far it looks like the best nature documentary
67,94.0,7.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2067.0,0.0,1.0,1.0,2.0,0,https://www.vox.com/culture/2019/7/19/20692319/lion-king-new-live-action-animated-debate-2d-3d,is disneys new lion king remake liveaction or animated  vox  wwwvoxcom  culture  2019  lionkingnewliveactionanimateddeba,jul 19 2019    its animated but the distinction doesnt matter by emily vanderwerffemilyvdw jul 19 2019 11
68,56.0,8.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,91.0,0.0,1.0,2.0,1.0,1,https://disney.fandom.com/wiki/The_Lion_King_(2019_film),the lion king 2019 film  disney wiki  disneyfandomcom  wiki  thelionking2019film,duration   132  posted   aug 21 2019
69,88.0,9.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,https://play.google.com/store/movies/details/The_Lion_King?id=l6nIh9ZsDaQ&hl=en_US&gl=US,the lion king  movies on google play  playgooglecom  store  movies  details  thelionking,disneys the lion king directed by jon favreau journeys to the african savanna where a future king is born  the lion king 2019118 minutes
70,54.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,1.0,2.0,1.0,1,https://en.wikipedia.org/wiki/The_Avengers_(2012_film),the avengers 2012 film  wikipedia  enwikipediaorg  wiki  theavengers2012film,marvels the avengers or simply the avengers is a 2012 american superhero film based on the marvel comics superhero team of the same name  list of accolades received by    empire film magazine    soundtrack
71,37.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,1.0,0.0,1,https://www.imdb.com/title/tt0848228/,the avengers 2012  imdb  wwwimdbcom  title,rating   810  1316233
72,43.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,https://www.youtube.com/watch?v=eOrNdBpGMv8,marvels the avengers trailer official  youtube  wwwyoutubecom  watch,duration   205  posted   oct 11 2011
73,53.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,1,https://www.rottentomatoes.com/m/marvels_the_avengers,marvels the avengers  rotten tomatoes  wwwrottentomatoescom  marvelstheavengers,rating   91  362
74,60.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,1.0,1,https://marvelcinematicuniverse.fandom.com/wiki/The_Avengers,the avengers  marvel cinematic universe wiki  fandom  marvelcinematicuniversefandomcom  wiki  theavengers,marvels the avengers also known as the avengers and avengers assemble is a 2012 superhero film based on the marvel comics superhero team of the same
75,57.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,1.0,1,https://marvel-movies.fandom.com/wiki/The_Avengers_(film),the avengers film  marvel movies wiki  marvelmoviesfandomcom  wiki  theavengersfilm,the avengers also known as avengers assemble in the uk and ireland is a 2012 superhero film and the sixth film in the marvel cinematic universe based on
76,42.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9576.0,0.0,0.0,1.0,0.0,1,https://www.marvel.com/movies/the-avengers,the avengers 2012  cast characters villains  marvelcom  wwwmarvelcom  movies  theavengers,marvel studios presents in association with paramount pictures marvels the avengersthe super hero team up of a lifetime featuring iconic marvel super
77,71.0,7.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0,https://www.amazon.com/Avengers-Art-Marvels-Jason-Surrell/dp/0785162348,the art of marvels the avengers hardcover  amazoncom  wwwamazoncom  avengersartmarvelsjasonsurrell,avengers the art of marvels the avengers hardcover  may 2 2012  marvel studios takes readers behind the scenes of one of the most eagerly anticipated films
78,50.0,8.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2384.0,0.0,1.0,2.0,0.0,0,https://www.metacritic.com/movie/the-avengers-2012,the avengers 2012 reviews  metacritic  wwwmetacriticcom  movie  theavengers2012,rating   69  43
79,71.0,9.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2287.0,0.0,1.0,2.0,0.0,0,https://www.fandango.com/marvels-the-avengers-2012-30154/movie-overview,marvels the avengers 2012  tickets  showtimes near you  wwwfandangocom  marvelstheavengers201230154  movieoverview,rating   91  1136933
80,37.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,1.0,0.0,1,https://www.imdb.com/title/tt2820852/,furious 7 2015  imdb  wwwimdbcom  title,rating   7110  376692
81,39.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,1.0,1,https://en.wikipedia.org/wiki/Furious_7,furious 7  wikipedia  enwikipediaorg  wiki  furious7,furious 7 is a 2015 american action film directed by james wan and written by chris morgan it is the sequel to fast  furious 6 2013 and the seventh  cast    production    release    reception
82,43.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,https://www.youtube.com/watch?v=Skpu5HaVkOc,furious 7  official trailer hd  youtube  wwwyoutubecom  watch,duration   243  posted   nov 1 2014
83,43.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0,https://www.youtube.com/watch?v=5Yab0sXGEjg,furious 7 official trailer 1 2015  vin diesel paul walker movie hd  wwwyoutubecom  watch,duration   250  posted   nov 1 2014
84,43.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,https://www.youtube.com/watch?v=yISKeT6sDOg,furious 7  official theatrical trailer hd  youtube  wwwyoutubecom  watch,duration   300  posted   feb 4 2015
85,42.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,1,https://www.rottentomatoes.com/m/furious_7,furious 7  rotten tomatoes  wwwrottentomatoescom  furious7,rating   82  277
